time_s,event,details
3.10066,DATA_DROP_SIG,rx=10,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=4,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=7,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=9,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=6,sender=0,nonce=3100000000
3.15,BLOCK_MINE_START,block_next=4
3.2,REPLAY_SENT,nonce=3100000000
3.2,BLOCK_COMMIT_ITEM,accused=2,delta=-0.050000,trust=0.570000
3.2,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.550000
3.2,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.500000
3.2,BLOCK_COMMIT_ITEM,accused=6,delta=0.020000,trust=0.720000
3.2,BLOCK_COMMIT_ITEM,accused=6,delta=0.020000,trust=0.740000
3.2,BLOCK_COMMIT_ITEM,accused=3,delta=-0.050000,trust=0.550000
3.2,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.450000
3.2,BLOCK_COMMIT_DONE,block=4,items=7,lat_s=0.050000
3.20066,DATA_DROP_SIG,rx=11,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=1,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=8,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=2,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=5,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=3,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=10,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=4,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=7,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=9,sender=0,nonce=3100000000
3.20066,DATA_DROP_SIG,rx=6,sender=0,nonce=3100000000
3.20099,DATA_DROP_SIG,rx=11,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=1,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=8,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=2,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=5,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=3,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=10,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=4,sender=0,nonce=3200000000
3.20099,DATA_DROP_SIG,rx=7,sender=0,nonce=3200000000
